Horodateur;Etes-vous :;Quel âge avez-vous ? (Juste mettre le nombre);De quelle province venez-vous ?;Habitez-vous :;Quel est votre code postal ?;En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Avant la Covid-19];En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Après la Covid-19];Depuis la Covid-19, vos déplacements en voiture;Quel est votre plus haut niveau d'étude ?;Vous êtes :;Travaillez-vous dans le secteur de l'énergie et/ou dans le domaine de l'environnement ?;Comment décririez-vous le revenu actuel de votre ménage ?;Avez-vous déjà rencontré un des problèmes suivants : [Inondation];Avez-vous déjà rencontré un des problèmes suivants : [Incendie];Avez-vous déjà rencontré un des problèmes suivants : [Pollution];Avant de participer à cette enquête, aviez-vous déjà entendu parler de l'utilisation de l'hydrogène dans le contexte de la production d'énergie ?;Evaluez votre connaissance à ce propos;Que pensez-vous de l'utilisation de l'hydrogène comme solution possible aux défis énergétiques et environnementaux ?;Avez-vous déjà pensé à acheter une voiture à hydrogène ? ;Comparées aux voitures à hydrogène, je pense que [Les voitures conventionnelles sont];Comparées aux voitures à hydrogène, je pense que [Les voitures hybrides sont];Comparées aux voitures à hydrogène, je pense que [Les voitures électriques sont];Comparées aux voitures à hydrogène, je pense que [Les voitures au gaz naturel comprimé (GNC) ou au gaz naturel liquéfié (GNL) sont]; [Etre mieux informé.e sur ce sujet]; [Pouvoir contribuer à l'élaboration des lois associées]; [Prix d'achat de la voiture à hydrogène]; [Prix de l'hydrogène]; [Prix des autres carburants]; [Sécurité de l'hydrogène]; [La présence de stations à hydrogène]; [Autonomie]; [Diminution des importations de combustibles]; [Réduction des émissions de gaz à effet de serre à l'origine du changement climatique]; [Réduction de la pollution atmosphérique locale dans les zones urbaines]; [Création d'opportunités pour les industries belges afin d'accroître leur capacité à fournir des technologies innovantes];"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [tout est égal (prix, confort, maintenance,..) aux autres sortes de voiture]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [des subsides sont fournis à l'achat]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à diesel sont bannies des villes]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à essence sont bannies des villes]";Si une limitation de kilomètres par an pouvant être réalisés par des voitures polluantes (diesel/essence) existait, à quelle limitation passeriez-vous à une voiture plus propre ? 
1/2/2022 21:19:45;Homme;24;Liège;En périphérie;4860;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Oui;Oui;4;3;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que le Covid19);Une solution égale;Une meilleure solution;Une moins bonne solution;Une solution égale;Fort important;Peu important;Très important;Fort important;Très important;Moyennement important;Très important;Fort important;Moyennement important;Fort important;Très important;Peu important;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
1/2/2022 21:43:54;Femme;23;Liège;En périphérie;4420;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une moins bonne solution;Une solution égale;Une meilleure solution;Une moins bonne solution;Fort important;Fort important;Très important;Très important;Moyennement important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;5 000 km
1/3/2022 18:06:32;Femme;24;Liège;En périphérie;4540;Plus de 20 000;Entre 15 000 et 20 000;Ont diminué;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Moyennement important;Moyennement important;Fort important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/3/2022 18:07:59;Homme;18;Liège;A la campagne;4700;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Pas du tout important;Très important;Fort important;Pas du tout important;Fort important;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/3/2022 18:09:38;Homme;24;Liège;A la campagne;4550;Plus de 20 000;Plus de 20 000;sont restés stables;Bachelier;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Fort important;Fort important;Très important;Très important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;20 000 km
1/3/2022 18:09:40;Femme;24;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Employé;Non;Je vis très confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Moyennement important;Moyennement important;Moyennement important;Fort important;Fort important;Très important;Très important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 18:11:10;Femme;21;Région de Bruxelles-Capitale;En périphérie;1950;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Très important;Fort important;Fort important;Fort important;Fort important;Fort important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/3/2022 18:11:32;Homme;23;Liège;A la campagne;4500;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;2;Non;Une meilleure solution;Une solution égale;Une moins bonne solution;Une moins bonne solution;Peu important;Pas du tout important;Moyennement important;Moyennement important;Moyennement important;Fort important;Très important;Très important;Peu important;Peu important;Peu important;Pas du tout important;Moyennement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;20 000 km
1/3/2022 18:12:47;Autre;19;Liège;En périphérie;4610;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Etudiant;Non;Je vis très confortablement avec mon revenu actuel;Oui;Non;Oui;Non;1;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Très important;Très important;Peu important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;1 000 km
1/3/2022 18:13:07;Femme;23;Hainaut;En centre ville;7700;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Etudiant;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Non;1;3;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
