sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Homme,24,Liège,En périphérie,4860,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Oui,Oui,4,3,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que le Covid19)",Une solution égale,Une meilleure solution,Une moins bonne solution,Une solution égale,Fort important,Peu important,Très important,Fort important,Très important,Moyennement important,Très important,Fort important,Moyennement important,Fort important,Très important,Peu important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Femme,23,Liège,En périphérie,4420,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Fort important,Fort important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,5 000 km
Femme,24,Liège,En périphérie,4540,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Moyennement important,Moyennement important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,18,Liège,A la campagne,4700,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Pas du tout important,Très important,Fort important,Pas du tout important,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,24,Liège,A la campagne,4550,Plus de 20 000,Plus de 20 000,sont restés stables,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Fort important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,20 000 km
Femme,24,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Moyennement important,Moyennement important,Fort important,Fort important,Très important,Très important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,21,Région de Bruxelles-Capitale,En périphérie,1950,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Très important,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,23,Liège,A la campagne,4500,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Etudiant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,2,Non,Une meilleure solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Peu important,Pas du tout important,Moyennement important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Peu important,Peu important,Peu important,Pas du tout important,Moyennement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,20 000 km
Autre,19,Liège,En périphérie,4610,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Oui,Non,Oui,Non,1,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Très important,Très important,Peu important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,1 000 km
Femme,23,Hainaut,En centre ville,7700,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Etudiant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
